Specie,Group,Assembly,Query,ProteinLength,IsoelectricPoint,MolecularWeight,Localizations,Orthogroup,Domains,Orthogroup_
Dendroctonus ponderosae,Coleoptera,GCF_020466585.1,XP_048524632.1,380,4.2964,41939.4,Extracellular|Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,NP_001128139.2,410,5.3439,45855.53,Cytoplasm,OG0000000,['Glyco_hydro_18'],0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,NP_001155084.1,538,6.4191,61013.92,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,XP_001600140.2,461,6.2541,50909.5,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,XP_001601382.1,461,7.3542,52821.5,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,XP_001604515.2,973,6.3836,109817.56,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,XP_001604954.1,451,8.2226,51571.06,Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Homalodisca vitripennis,Hemiptera,GCF_021130785.1,XP_046679256.1,1138,4.3101,126848.73,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18']",0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,XP_008207737.1,538,6.4191,61013.92,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Dendroctonus ponderosae,Coleoptera,GCF_020466585.1,XP_048522851.1,2825,6.4942,317915.72,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Dendroctonus ponderosae,Coleoptera,GCF_020466585.1,XP_019757751.2,2474,5.5254,275827.33,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Harmonia axyridis,Coleoptera,GCF_914767665.1,XP_045460334.1,389,4.6097,43876.44,Extracellular,OG0000000,['Glyco_hydro_18'],0
Harmonia axyridis,Coleoptera,GCF_914767665.1,XP_045465111.1,2219,6.6633,249665.64,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Pararge aegeria,Lepidoptera,GCF_905163445.1,XP_039746589.1,3230,6.7019,362183.36,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'Abhydrolase_1', 'Abhydrolase_1']",0
Pararge aegeria,Lepidoptera,GCF_905163445.1,XP_039747203.1,475,4.3369,52764.14,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Pararge aegeria,Lepidoptera,GCF_905163445.1,XP_039748400.1,516,5.0821,57972.09,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Pararge aegeria,Lepidoptera,GCF_905163445.1,XP_039749104.1,528,6.2256,57849.85,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Pararge aegeria,Lepidoptera,GCF_905163445.1,XP_039751651.1,458,9.3538,52318.27,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Pararge aegeria,Lepidoptera,GCF_905163445.1,XP_039753625.1,1765,7.3636,196460.96,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Pararge aegeria,Lepidoptera,GCF_905163445.1,XP_039754058.1,856,5.3147,96780.31,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Aricia agestis,Lepidoptera,GCF_905147365.1,XP_041985359.1,511,5.4,57895.95,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Aricia agestis,Lepidoptera,GCF_905147365.1,XP_041982983.1,547,4.708,61449.93,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Bicyclus anynana,Lepidoptera,GCF_947172395.1,XP_052744323.1,401,4.706,44771.92,Extracellular,OG0000000,['Glyco_hydro_18'],0
Aricia agestis,Lepidoptera,GCF_905147365.1,XP_041978795.1,2475,4.9772,278033.01,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Aricia agestis,Lepidoptera,GCF_905147365.1,XP_041977225.1,2921,5.4045,326167.57,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Pararge aegeria,Lepidoptera,GCF_905163445.1,XP_039760154.1,542,6.1937,60815.68,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Pararge aegeria,Lepidoptera,GCF_905163445.1,XP_039760340.1,410,4.5469,45782.43,Extracellular,OG0000000,['Glyco_hydro_18'],0
Pararge aegeria,Lepidoptera,GCF_905163445.1,XP_039760648.1,461,6.4844,50668.49,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Phlebotomus argentipes,Diptera,GCF_947086385.1,XP_059609504.1,503,6.7042,57580.34,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Phlebotomus argentipes,Diptera,GCF_947086385.1,XP_059611118.1,480,5.0033,51851.63,Extracellular,OG0000000,['Glyco_hydro_18'],0
Phlebotomus argentipes,Diptera,GCF_947086385.1,XP_059611394.1,387,5.677,43464.29,Extracellular,OG0000000,['Glyco_hydro_18'],0
Phlebotomus argentipes,Diptera,GCF_947086385.1,XP_059611621.1,571,5.2167,64306.67,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Phlebotomus argentipes,Diptera,GCF_947086385.1,XP_059612054.1,2073,6.6827,234322.43,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Aricia agestis,Lepidoptera,GCF_905147365.1,XP_041978321.1,983,6.4242,111093.67,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Harmonia axyridis,Coleoptera,GCF_914767665.1,XP_045460335.1,385,4.7278,43030.63,Extracellular,OG0000000,['Glyco_hydro_18'],0
Bicyclus anynana,Lepidoptera,GCF_947172395.1,XP_052741567.1,1796,8.2516,200084.36,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Bicyclus anynana,Lepidoptera,GCF_947172395.1,XP_052740108.1,988,6.6494,111639.35,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Harmonia axyridis,Coleoptera,GCF_914767665.1,XP_045466223.1,408,7.7555,46404.4,Extracellular,OG0000000,['Glyco_hydro_18'],0
Harmonia axyridis,Coleoptera,GCF_914767665.1,XP_045466227.1,331,9.1864,37446.2,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18']",0
Harmonia axyridis,Coleoptera,GCF_914767665.1,XP_045467500.1,380,4.7748,41544.03,Extracellular,OG0000000,['Glyco_hydro_18'],0
Harmonia axyridis,Coleoptera,GCF_914767665.1,XP_045468782.1,379,4.5168,42195.73,Extracellular,OG0000000,['Glyco_hydro_18'],0
Harmonia axyridis,Coleoptera,GCF_914767665.1,XP_045471267.1,462,5.8849,52316.47,Extracellular|Cell membrane,OG0000000,['Glyco_hydro_18'],0
Harmonia axyridis,Coleoptera,GCF_914767665.1,XP_045475619.1,2832,6.4233,320552.4,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Harmonia axyridis,Coleoptera,GCF_914767665.1,XP_045475621.1,2832,6.4233,320552.4,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Harmonia axyridis,Coleoptera,GCF_914767665.1,XP_045476283.1,987,6.8772,111999.09,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Homalodisca vitripennis,Hemiptera,GCF_021130785.1,XP_046666318.1,611,4.9917,68265.93,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Bicyclus anynana,Lepidoptera,GCF_947172395.1,XP_052740937.1,539,7.7352,58881.35,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Harmonia axyridis,Coleoptera,GCF_914767665.1,XP_045481729.1,538,6.2877,60600.47,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Bicyclus anynana,Lepidoptera,GCF_947172395.1,XP_023936024.1,499,5.9435,55010.05,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Bicyclus anynana,Lepidoptera,GCF_947172395.1,XP_023936035.2,474,4.6365,52904.82,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Homalodisca vitripennis,Hemiptera,GCF_021130785.1,XP_046660823.1,992,7.1789,111495.24,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Aricia agestis,Lepidoptera,GCF_905147365.1,XP_041988416.1,435,8.4664,49853.26,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Bicyclus anynana,Lepidoptera,GCF_947172395.1,XP_023943907.2,505,5.4014,58094.29,Extracellular,OG0000000,['Glyco_hydro_18'],0
Bicyclus anynana,Lepidoptera,GCF_947172395.1,XP_023943910.2,515,5.9631,57654.95,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Bicyclus anynana,Lepidoptera,GCF_947172395.1,XP_023944029.2,2900,6.2393,323174.65,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Bicyclus anynana,Lepidoptera,GCF_947172395.1,XP_023949859.2,547,5.9956,61178.13,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Bicyclus anynana,Lepidoptera,GCF_947172395.1,XP_023949869.2,411,5.1569,46070.21,Extracellular,OG0000000,['Glyco_hydro_18'],0
Bicyclus anynana,Lepidoptera,GCF_947172395.1,XP_023934966.1,431,8.6752,48148.93,Extracellular,OG0000000,['Glyco_hydro_18'],0
Dendroctonus ponderosae,Coleoptera,GCF_020466585.1,XP_019756484.2,511,4.1069,54047.92,Extracellular,OG0000000,['Glyco_hydro_18'],0
Dendroctonus ponderosae,Coleoptera,GCF_020466585.1,XP_019756470.1,403,4.3531,44952.25,Extracellular,OG0000000,['Glyco_hydro_18'],0
Vanessa cardui,Lepidoptera,GCF_905220365.1,XP_046975062.1,499,7.3693,56765.69,Extracellular,OG0000000,['Glyco_hydro_18'],0
Drosophila navojoa,Diptera,GCF_001654015.2,XP_030242077.1,431,4.6752,47331.5,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Bombus terrestris,Hymenoptera,GCF_910591885.1,XP_003395393.1,484,6.3881,54258.32,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Bombus terrestris,Hymenoptera,GCF_910591885.1,XP_003400489.1,969,5.5797,109877.52,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Bombus terrestris,Hymenoptera,GCF_910591885.1,XP_003400637.1,405,5.1299,45364.53,Extracellular,OG0000000,['Glyco_hydro_18'],0
Bombus terrestris,Hymenoptera,GCF_910591885.1,XP_003400671.1,447,5.8181,50579.6,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Bombus terrestris,Hymenoptera,GCF_910591885.1,XP_012164443.1,470,6.7673,53422.92,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Bombus terrestris,Hymenoptera,GCF_910591885.1,XP_020721052.2,2687,6.5361,302699.45,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Bombus terrestris,Hymenoptera,GCF_910591885.1,XP_048262356.1,4275,7.7593,478839.64,Extracellular,OG0000000,"['PH', 'Glyco_hydro_18', 'CBM_14']",0
Bombus terrestris,Hymenoptera,GCF_910591885.1,XP_048262999.1,462,6.6852,52407.3,Extracellular,OG0000000,['Glyco_hydro_18'],0
Drosophila navojoa,Diptera,GCF_001654015.2,XP_030240858.1,2433,6.198,271920.83,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Microplitis demolitor,Hymenoptera,GCF_026212275.2,XP_008545430.1,2697,6.9921,303526.55,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Aphidius gifuensis,Hymenoptera,GCF_014905175.1,XP_044001889.1,372,5.3249,41694.02,Cytoplasm,OG0000000,['Glyco_hydro_18'],0
Aphidius gifuensis,Hymenoptera,GCF_014905175.1,XP_044002154.1,2232,7.8242,252358.01,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Hylaeus volcanicus,Hymenoptera,GCF_026283585.1,XP_053984695.1,477,5.3191,52135.57,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Hylaeus volcanicus,Hymenoptera,GCF_026283585.1,XP_053984694.1,477,5.3191,52135.57,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Aphidius gifuensis,Hymenoptera,GCF_014905175.1,XP_044007606.1,475,8.8431,53934.91,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Aphidius gifuensis,Hymenoptera,GCF_014905175.1,XP_044007607.1,475,8.8431,53934.91,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Aphidius gifuensis,Hymenoptera,GCF_014905175.1,XP_044007608.1,475,8.8431,53934.91,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Aphidius gifuensis,Hymenoptera,GCF_014905175.1,XP_044007609.1,475,8.8431,53934.91,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Aphidius gifuensis,Hymenoptera,GCF_014905175.1,XP_044010151.1,404,9.4214,44341.24,Extracellular,OG0000000,['Glyco_hydro_18'],0
Hylaeus volcanicus,Hymenoptera,GCF_026283585.1,XP_053995105.1,967,5.8411,109562.02,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Aphidius gifuensis,Hymenoptera,GCF_014905175.1,XP_044010362.1,379,4.2869,41536.2,Extracellular,OG0000000,['Glyco_hydro_18'],0
Microplitis demolitor,Hymenoptera,GCF_026212275.2,XP_008553004.1,980,5.8419,110618.0,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Drosophila navojoa,Diptera,GCF_001654015.2,XP_017965510.1,423,6.9412,48246.08,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_047995081.1,990,6.8978,111836.71,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Microplitis demolitor,Hymenoptera,GCF_026212275.2,XP_008556588.2,483,4.7869,53142.78,Extracellular,OG0000000,['Glyco_hydro_18'],0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_047995388.1,413,7.8064,45793.07,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_047996735.1,818,4.8103,88807.07,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_047996746.1,787,4.7945,85303.02,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18']",0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_047996757.1,503,4.6235,54808.52,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_047998379.1,395,4.2057,43040.96,Extracellular|Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_047998380.1,393,4.2857,42641.59,Extracellular,OG0000000,['Glyco_hydro_18'],0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_047998489.1,394,5.6988,42217.54,Extracellular,OG0000000,['Glyco_hydro_18'],0
Drosophila navojoa,Diptera,GCF_001654015.2,XP_017967091.1,585,6.6592,66100.89,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_047998503.1,421,4.3969,46248.94,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_047998767.1,326,5.7128,35250.78,Extracellular,OG0000000,['Glyco_hydro_18'],0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_048002102.1,509,5.2868,57281.3,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_048003167.1,389,5.0896,42775.78,Extracellular,OG0000000,['Glyco_hydro_18'],0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_048004377.1,499,4.5814,54492.97,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila navojoa,Diptera,GCF_001654015.2,XP_017957261.1,474,6.017,52788.51,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Drosophila navojoa,Diptera,GCF_001654015.2,XP_017958095.1,1008,6.2073,113065.01,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Drosophila navojoa,Diptera,GCF_001654015.2,XP_017962072.1,476,4.6807,52726.42,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila navojoa,Diptera,GCF_001654015.2,XP_017962073.1,475,7.756,53981.59,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Drosophila navojoa,Diptera,GCF_001654015.2,XP_017962330.1,368,4.3805,40968.64,Extracellular,OG0000000,['Glyco_hydro_18'],0
Leguminivora glycinivorella,Lepidoptera,GCF_023078275.1,XP_047998568.1,392,5.9601,41931.24,Extracellular,OG0000000,['Glyco_hydro_18'],0
Aphidius gifuensis,Hymenoptera,GCF_014905175.1,XP_044011888.1,378,4.6619,41072.04,Extracellular,OG0000000,['Glyco_hydro_18'],0
Aphidius gifuensis,Hymenoptera,GCF_014905175.1,XP_044012273.1,2558,5.4269,287844.41,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Aphidius gifuensis,Hymenoptera,GCF_014905175.1,XP_044012773.1,565,7.4669,64270.6,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Plodia interpunctella,Lepidoptera,GCF_027563975.1,XP_053620320.1,547,4.1869,60421.88,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Plodia interpunctella,Lepidoptera,GCF_027563975.1,XP_053621430.1,502,6.4463,55996.94,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Homalodisca vitripennis,Hemiptera,GCF_021130785.1,XP_046689009.1,388,7.4106,43423.68,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Plodia interpunctella,Lepidoptera,GCF_027563975.1,XP_053626078.1,2867,6.5033,319962.59,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
